Région;Ancienne région;Nature de procédure;Année;Trimestre;Dernier jour du trimestre;﻿Code région;Code ancienne région;Nombre de procédures (brut)
Grand Est;Lorraine;Sauvegarde;2007;1;2007-03-31;44;41;1
Martinique;Martinique;Sauvegarde;2018;1;2018-03-31;02;02;
Grand Est;Lorraine;Sauvegarde;2010;1;2010-03-31;44;41;8
Martinique;Martinique;Sauvegarde;2018;2;2018-06-30;02;02;1
Grand Est;Lorraine;Sauvegarde;2010;3;2010-09-30;44;41;6
Martinique;Martinique;Sauvegarde;2019;2;2019-06-30;02;02;2
Grand Est;Lorraine;Sauvegarde;2010;4;2010-12-31;44;41;12
Martinique;Martinique;Sauvegarde;2019;3;2019-09-30;02;02;1
Grand Est;Lorraine;Sauvegarde;2011;3;2011-09-30;44;41;18
Martinique;Martinique;Sauvegarde;2019;4;2019-12-31;02;02;5
Grand Est;Lorraine;Sauvegarde;2013;1;2013-03-31;44;41;12
Martinique;Martinique;Sauvegarde;2021;2;2021-06-30;02;02;
Grand Est;Lorraine;Sauvegarde;2014;2;2014-06-30;44;41;13
Martinique;Martinique;Sauvegarde;2021;4;2021-12-31;02;02;1
Grand Est;Lorraine;Sauvegarde;2015;1;2015-03-31;44;41;9
Martinique;Martinique;Sauvegarde;2022;2;2022-06-30;02;02;1
Grand Est;Lorraine;Sauvegarde;2016;1;2016-03-31;44;41;6
Martinique;Martinique;Sauvegarde;2023;4;2023-12-31;02;02;4
Grand Est;Lorraine;Sauvegarde;2016;4;2016-12-31;44;41;5
Martinique;Martinique;Sauvegarde;2024;1;2024-03-31;02;02;2
Grand Est;Lorraine;Sauvegarde;2017;2;2017-06-30;44;41;1
Martinique;Martinique;Sauvegarde;2024;3;2024-09-30;02;02;2
Grand Est;Lorraine;Sauvegarde;2017;3;2017-09-30;44;41;3
Martinique;Martinique;Sauvegarde;2025;3;2025-09-30;02;02;
Grand Est;Lorraine;Sauvegarde;2018;4;2018-12-31;44;41;3
Guyane;Guyane;Redressement judiciaire;2004;4;2004-12-31;03;03;21
Grand Est;Lorraine;Sauvegarde;2019;3;2019-09-30;44;41;5
Guyane;Guyane;Redressement judiciaire;2005;2;2005-06-30;03;03;22
Grand Est;Lorraine;Sauvegarde;2020;1;2020-03-31;44;41;6
Guyane;Guyane;Redressement judiciaire;2005;4;2005-12-31;03;03;56
Grand Est;Lorraine;Sauvegarde;2020;4;2020-12-31;44;41;3
Guyane;Guyane;Redressement judiciaire;2007;3;2007-09-30;03;03;14
Grand Est;Lorraine;Sauvegarde;2021;2;2021-06-30;44;41;2
Guyane;Guyane;Redressement judiciaire;2007;4;2007-12-31;03;03;16
Grand Est;Lorraine;Sauvegarde;2022;1;2022-03-31;44;41;9
Guyane;Guyane;Redressement judiciaire;2008;2;2008-06-30;03;03;15
Grand Est;Lorraine;Sauvegarde;2022;4;2022-12-31;44;41;11
Guyane;Guyane;Redressement judiciaire;2008;4;2008-12-31;03;03;23
