Région;Ancienne région;Nature de procédure;Année;Trimestre;Dernier jour du trimestre;﻿Code région;Code ancienne région;Nombre de procédures (brut)
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2019;1;2019-03-31;32;31;242
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2019;3;2019-09-30;32;31;171
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2020;1;2020-03-31;32;31;194
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2020;3;2020-09-30;32;31;85
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2021;4;2021-12-31;32;31;117
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2022;1;2022-03-31;32;31;117
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2022;3;2022-09-30;32;31;125
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2023;3;2023-09-30;32;31;172
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2024;4;2024-12-31;32;31;269
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2025;1;2025-03-31;32;31;242
Hauts-de-France;Nord-Pas-de-Calais;Redressement judiciaire;2025;3;2025-09-30;32;31;197
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2004;1;2004-03-31;32;31;456
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2006;3;2006-09-30;32;31;436
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2006;4;2006-12-31;32;31;539
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2008;3;2008-09-30;32;31;543
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2008;4;2008-12-31;32;31;668
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2009;4;2009-12-31;32;31;588
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2010;1;2010-03-31;32;31;770
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2012;3;2012-09-30;32;31;596
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2013;1;2013-03-31;32;31;796
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2014;1;2014-03-31;32;31;802
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2014;3;2014-09-30;32;31;605
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2014;4;2014-12-31;32;31;696
